lang	model	PER p	PER r	PER f1	 PER n	LOC p	LOC r	LOC f1	 LOC n	ORG p	ORG r	ORG f1	 ORG n	Total p	Total r	Total f1	 Total acc
sl	sl	0.9504527162977867	0.9762335313872385	0.9631706384605582	3871	0.9702007528230866	0.955219271155034	0.9626517273576097	3238	0.9298245614035088	0.9318366242899648	0.9308295055390434	3697	0.949213359094673	0.9547473625763465	0.9519723183391005	0.9917761489296947
hr	hr	0.9172366621067032	0.9503897944720057	0.9335189697180647	1411	0.9194729136163983	0.9029475197699497	0.9111352919840406	1391	0.8689655172413793	0.8792742498255408	0.874089490114464	1433	0.9015895278167368	0.9107438016528926	0.9061435451662163	0.9883904488446383
sr	sr	0.9683972911963883	0.955456570155902	0.961883408071749	449	0.9715370018975332	0.9865125240847784	0.9789674952198854	519	0.8856502242152466	0.9449760765550239	0.9143518518518519	418	0.943502824858757	0.963924963924964	0.953604568165596	0.988333090272714
bs	bs	0.9266666666666666	0.9423728813559322	0.9344537815126052	1180	0.9363110008271298	0.9556775010552976	0.9458951326509296	2369	0.9215210355987055	0.8919342208300705	0.9064862713887784	1277	0.9301606922126081	0.9355573974305843	0.9328512396694215	0.9719359700215877
mk	mk	0.9572845156369184	0.9616858237547893	0.959480122324159	1305	0.9290465631929047	0.9588100686498856	0.9436936936936937	1748	0.9442532690984171	0.9527777777777777	0.9484963705496025	1440	0.9419877408056042	0.9577119964389049	0.9497847919655668	0.9826724546747894
cs	cs	0.8990719257540604	0.9237187127532777	0.9112286890064668	839	0.8841463414634146	0.8852258852258852	0.884685784014643	819	0.7917705735660848	0.8078880407124682	0.7997481108312342	786	0.8595008051529791	0.8735679214402619	0.8664772727272727	0.9801650041682237
sl	sl.hr	0.9498992950654582	0.9746835443037974	0.9621318373071529	3871	0.9653341661461586	0.9546016059295862	0.9599378881987578	3238	0.9198606271777003	0.9283202596700028	0.9240710823909533	3697	0.9441540577716644	0.9528039977790117	0.948459306342407	0.9915098407223293
hr	sl.hr	0.9078498293515358	0.9425939050318922	0.9248956884561891	1411	0.9151689432063264	0.9151689432063264	0.9151689432063264	1391	0.8896848137535817	0.8667131891137474	0.878048780487805	1433	0.904280338664158	0.9079102715466352	0.9060916696123483	0.9883407291394762
sl.hr	sl.hr	0.9385690638219606	0.9661113214691405	0.9521410579345087	5282	0.9501415197038973	0.942752214301145	0.9464324441552808	4629	0.9116442363955529	0.9111111111111111	0.9113775957882421	5130	0.9329682654878934	0.9401635529552557	0.9365520895423537	0.9904393209692521
sl	sl.sr	0.9620840856332216	0.9635753035391372	0.9628291171915333	3871	0.951840490797546	0.958307597282273	0.9550630963373345	3238	0.9151094500800854	0.927238301325399	0.9211339513636975	3697	0.9428466415510429	0.9495650564501203	0.946193923186869	0.9910089276656183
sr	sl.sr	0.9864253393665159	0.9710467706013363	0.978675645342312	449	0.9806949806949807	0.9788053949903661	0.9797492767598843	519	0.9189814814814815	0.9497607655502392	0.9341176470588236	418	0.9633620689655172	0.9675324675324676	0.9654427645788337	0.9901560449176025
sl.sr	sl.sr	0.9645751331326696	0.9643518518518519	0.9644634795693946	4320	0.9557967178401271	0.9611392068139473	0.9584605175846052	3757	0.9155098133078028	0.9295261239368166	0.9224647292897624	4115	0.9451731160896131	0.9516076115485564	0.9483794498712552	0.990940697443795
sl	sl.hr.sr	0.9544419134396356	0.9741668819426504	0.9642035285093328	3871	0.9602854483400558	0.9558369363804817	0.9580560284785636	3238	0.9244264507422402	0.9264268325669461	0.9254255606592813	3697	0.9459509146061219	0.9523412918748844	0.9491353470140651	0.9916556761692198
hr	sl.hr.sr	0.9069130732375086	0.9390503189227498	0.9227019498607243	1411	0.899788285109386	0.9166067577282531	0.908119658119658	1391	0.8691062631949331	0.8618283321702721	0.8654519971969166	1433	0.8920679227727378	0.9055489964580874	0.8987579095383172	0.987756522603821
sr	sl.hr.sr	0.9908675799086758	0.9665924276169265	0.9785794813979707	449	0.9733333333333334	0.9845857418111753	0.978927203065134	519	0.9493975903614458	0.9425837320574163	0.9459783913565425	418	0.9716981132075472	0.9660894660894661	0.9688856729377714	0.991031063147149
sl.hr.sr	sl.hr.sr	0.9452991452991453	0.9649275868085849	0.9550125205077281	5731	0.9450145208131655	0.9481351981351981	0.9465722874042469	5148	0.9121097274860134	0.910958904109589	0.9115339525656057	5548	0.9341024402029475	0.9414378766664637	0.937755813600946	0.9903762550768828
sl	sl.hr.sr.bs	0.9576422556774687	0.9695169206923275	0.9635430038510912	3871	0.9605139454716389	0.9465719579987647	0.9534919894229273	3238	0.9208132691278759	0.931025155531512	0.9258910558170813	3697	0.9457964601769911	0.9494725152692949	0.9476309226932669	0.991142081769301
hr	sl.hr.sr.bs	0.9266943291839558	0.9496810772501771	0.9380469023451172	1411	0.9235714285714286	0.9295470884255931	0.926549623790756	1391	0.8649760109664153	0.8806699232379623	0.8727524204702628	1433	0.9047619047619048	0.9197166469893743	0.9121779859484778	0.9885147481075437
sr	sl.hr.sr.bs	0.9817767653758542	0.9599109131403119	0.9707207207207208	449	0.980544747081712	0.9710982658959537	0.9757986447241045	519	0.9088785046728972	0.930622009569378	0.9196217494089834	418	0.9587255611875453	0.9552669552669553	0.9569931333574269	0.9876768266005542
bs	sl.hr.sr.bs	0.8977812995245642	0.9601694915254237	0.927927927927928	1180	0.9368952461085401	0.9400590966652596	0.9384745048461863	2369	0.9184013322231473	0.8637431480031323	0.8902340597255851	1277	0.922107438016529	0.9247824285122255	0.9234429960686944	0.9636267361818256
sl.hr.sr.bs	sl.hr.sr.bs	0.9421171808661194	0.9632469975401534	0.9525649280961579	6911	0.9474739374498797	0.9430623919116669	0.9452630175345024	7517	0.9077058306475242	0.9078388278388279	0.9077723243718409	6825	0.9330027135772434	0.9383145908812873	0.9356511131442513	0.9877617318071975
sl	sl.hr.sr.bs.mk	0.9533586818757921	0.9715835701369155	0.9623848515864892	3871	0.9583724569640063	0.9456454601605929	0.9519664231307322	3238	0.9219629927594529	0.9299431971869083	0.9259359008887691	3697	0.9440610911767412	0.9495650564501203	0.9468050749711648	0.9910786750532616
hr	sl.hr.sr.bs.mk	0.9129834254143646	0.9369241672572644	0.924798880727527	1411	0.915758896151053	0.9065420560747663	0.9111271676300579	1391	0.8648838845883181	0.8576413119330076	0.8612473721093202	1433	0.897786151672162	0.9001180637544274	0.8989505954486499	0.9876695131197872
sr	sl.hr.sr.bs.mk	0.9910313901345291	0.9844097995545658	0.9877094972067039	449	0.984375	0.9710982658959537	0.9776915615906886	519	0.9320843091334895	0.9521531100478469	0.9420118343195265	418	0.9703971119133574	0.9696969696969697	0.9700469144713101	0.9912498177045355
bs	sl.hr.sr.bs.mk	0.8786936236391913	0.9576271186440678	0.9164639091646393	1180	0.937152629328773	0.9252849303503587	0.931180968564146	2369	0.91941982272361	0.8935003915426781	0.9062748212867354	1277	0.9171804356761201	0.9247824285122255	0.9209657449442841	0.9657447761801963
mk	sl.hr.sr.bs.mk	0.946067415730337	0.967816091954023	0.9568181818181817	1305	0.9496036240090601	0.9593821510297483	0.9544678429140581	1748	0.9568245125348189	0.9541666666666667	0.9554937413073713	1440	0.9508485783557417	0.9601602492766526	0.9554817275747508	0.9840586583008062
sl.hr.sr.bs.mk	sl.hr.sr.bs.mk	0.9359338061465721	0.9637293086660176	0.9496282082034062	8216	0.946348895418435	0.9385860766324878	0.9424515010295872	9265	0.918342621759147	0.9171203871748337	0.9177310975240631	8265	0.9340230861290199	0.9397187912685465	0.9368622819415671	0.9875033323350042
sl	sl.hr.sr.bs.mk.cs	0.9555724803249556	0.972358563678636	0.9638924455825865	3871	0.9615143929912391	0.9490426189005559	0.9552377991917935	3238	0.9216478190630049	0.9258858533946444	0.9237619754419106	3697	0.9457092819614711	0.9494725152692949	0.9475871623181714	0.9914147306482702
hr	sl.hr.sr.bs.mk.cs	0.9047619047619048	0.9291282778171509	0.9167832167832167	1411	0.9020319303338171	0.8936017253774263	0.897797038642109	1391	0.8648648648648649	0.8709002093510119	0.8678720445062588	1433	0.8903981264637002	0.8977567886658796	0.8940623162845386	0.9867248387217064
sr	sl.hr.sr.bs.mk.cs	0.9910112359550561	0.9821826280623608	0.9865771812080536	449	0.9770992366412213	0.9865125240847784	0.9817833173537871	519	0.9290780141843972	0.9401913875598086	0.9346016646848989	418	0.9669540229885057	0.9711399711399712	0.9690424766018719	0.9903747994749891
bs	sl.hr.sr.bs.mk.cs	0.8769349845201239	0.9601694915254237	0.9166666666666667	1180	0.9397539244802715	0.9349936682144365	0.9373677528565382	2369	0.9273327828241124	0.8794048551292091	0.9027331189710612	1277	0.9199588477366255	0.9264401160381268	0.9231881065455297	0.965296729257464
mk	sl.hr.sr.bs.mk.cs	0.9583648750946253	0.9701149425287356	0.9642041127189643	1305	0.9449128724002248	0.9616704805491991	0.9532180323220869	1748	0.9701492537313433	0.9479166666666666	0.9589041095890412	1440	0.956733969380963	0.9597151123970621	0.9582222222222222	0.9844599277714953
cs	sl.hr.sr.bs.mk.cs	0.8941311852704258	0.9261025029797377	0.9098360655737705	839	0.8401442307692307	0.8534798534798534	0.8467595396729255	819	0.7729658792650919	0.7493638676844784	0.7609819121447028	786	0.8384084449857897	0.8449263502454992	0.8416547788873039	0.9766866933049703
sl.hr.sr.bs.mk.cs	sl.hr.sr.bs.mk.cs	0.933118625872249	0.9599116510215351	0.9463255307566685	9055	0.9361215974567852	0.9344506148353828	0.9352853598014889	10084	0.90859375	0.8994586233565351	0.9040031092110377	9051	0.9264316714300836	0.9313941113870167	0.9289062638198511	0.9862887888774703
hr	hr.sr	0.9170664838930774	0.9482636428065202	0.932404181184669	1411	0.9227436823104693	0.918763479511143	0.920749279538905	1391	0.8779822767552828	0.8988136775994418	0.8882758620689656	1433	0.9055903502667595	0.9218417945690673	0.9136438099695765	0.9899193297783744
sr	hr.sr	0.9866369710467706	0.9866369710467706	0.9866369710467706	449	0.9809885931558935	0.9942196531791907	0.9875598086124401	519	0.9590361445783132	0.9521531100478469	0.9555822328931572	418	0.9762589928057553	0.9790764790764791	0.9776657060518732	0.9926352632346507
hr.sr	hr.sr	0.9334381551362684	0.9575268817204301	0.9453290870488322	1860	0.9387755102040817	0.9392670157068063	0.9390211986390997	1910	0.895855472901169	0.9108589951377634	0.9032949370479506	1851	0.9228205577968778	0.9359544565024017	0.929341105811694	0.9903148728296076
hr	hr.sr.bs	0.8919814446653412	0.9539333805811481	0.921917808219178	1411	0.9196493791088386	0.9051042415528396	0.91231884057971	1391	0.8573426573426574	0.8555478018143754	0.8564442892071255	1433	0.8892757660167131	0.9046044864226682	0.8968746342034414	0.9874084846676859
sr	hr.sr.bs	0.9865168539325843	0.977728285077951	0.982102908277405	449	0.9922178988326849	0.9826589595375722	0.9874152952565343	519	0.9449760765550239	0.9449760765550239	0.9449760765550239	418	0.9760348583877996	0.9696969696969697	0.9728555917480999	0.9915414904477177
bs	hr.sr.bs	0.8896769109535066	0.9567796610169491	0.9220089832584728	1180	0.9305439330543933	0.9387927395525538	0.9346501365833159	2369	0.9247311827956989	0.87548942834769	0.8994368463395013	1277	0.9184470008216927	0.9264401160381268	0.9224262430369301	0.9659891654107776
hr.sr.bs	hr.sr.bs	0.9041265901334161	0.9585526315789473	0.9305444675075842	3040	0.9344722677275918	0.9331619537275064	0.9338166510757717	4279	0.8959764474975466	0.8756393861892583	0.8856911883589329	3128	0.9140528759594428	0.9233272709868862	0.9186666666666667	0.9834563159136089
